date,amount,currency,vendor,source
2018-01-25,56.5,USD,"1955 Broadway, Santa Monica, CA 90404",1054-receipt.jpg.json
2016-12-19,13.05,USD,8105 MADISON AVE,1039-receipt.jpg.json
2019-12-03,55.95,USD,COMMANDER'S PALACE,1111-receipt.jpg.json
2019-03-17,38.86,USD,"17861 BISCAYNE BLVD Aventura, FL 33160",1046-receipt.jpg.json
2017-07-05,27.08,USD,"MIGUELS MEXICAN RESTAURANT, 187 MEGAN F TAMPA, FL",1189-receipt.jpg.json
2013-06-01,21.69,USD,"OHANA HAWAIIAN BBQ, 4469 SLAUSON AVEMaywood, CA 90270",1072-receipt.jpg.json
2017-12-29,64.52,USD,"25 West San Fernando St. San Jose, CA 95113",1099-receipt.jpg.json
2019-02-09,34.21,USD,"DOUGLAS BURGERS, 12345 S 13th StWhite Center",1028-receipt.jpg.json
2017-06-05,41.45,USD,HEDLEYS,1176-receipt.jpg.json
2014-12-21,25.94,USD,CASA CHAN RESTAURANT,1138-receipt.jpg.json
2015-08-02,17.0,EUR,la Source,1114-receipt.jpg.json
,88.62,USD,Yauatcha,1141-receipt.jpg.json
2019-11-02,55.39,USD,FAIRVIEW,1042-receipt.jpg.json
2022-12-26,65.14,USD,"MIGUELS MEXICAN, 3035 W. KENNEDY BLVD, TAMPA, FL.",1145-receipt.jpg.json
2017-07-06,617.0,INR,SS PARADISE,1139-receipt.jpg.json
2018-06-24,47.9,USD,6910 E SUNRISE DR,1177-receipt.jpg.json
2012-01-13,83.44,USD,Blue Bear Tavern,1142-receipt.jpg.json
2019-01-12,44.35,USD,"Laurel Tavern, 1220 Hermosa Beach, Hermosa Beach, CA 90254",1031-receipt.jpg.json
2018-12-31,58.3,USD,CHARLES,1196-receipt.jpg.json
2017-04-27,61.8,USD,VIA EMILIA 9,1132-receipt.jpg.json
2013-08-12,13.26,USD,"Rihanna's Caribbean Restaurant, 12709 Beechnut St STE100, Houston, TX 77072",1146-receipt.jpg.json
2018-06-02,29.96,USD,"Golden Panda Buffet, 14428 Ramona Blvd. #70, Baldwin Park, CA 91706",1113-receipt.jpg.json
2018-03-18,67.89,USD,"149 Mineola Blvd, Mineola, NY 11501",1098-receipt.jpg.json
2019-08-08,6.56,USD,"SURATI FARSAN MART, 11814 186TH STREET, ARTESIA, CA 90701",1082-receipt.jpg.json
2018-12-28,83.64,USD,"Firefly American Bistro, 5525 New Albany Road West, New Albany, OH 43054",1124-receipt.jpg.json
2018-09-25,46.98,USD,"223 N. Citrus Ave, Covina, CA 91723",1096-receipt.jpg.json
2017-05-12,45.58,USD,"2441 Van Horn Ave, Suite 100",1019-receipt.jpg.json
2018-07-01,125.99,USD,Trattoria Saporito,1084-receipt.jpg.json
2019-01-15,13.22,USD,5 FAIR Oaks Ave,1073-receipt.jpg.json
,30.58,USD,519 Fulton Ave. Hempstead NY,1055-receipt.jpg.json
2017-09-10,71.58,USD,Heart of Portugal Restaurant,1121-receipt.jpg.json
2023-03-14,32.47,USD,,1053-receipt.jpg.json
2018-10-06,33.75,USD,"1805 Parker Rd Suite G110, 18C5 Parker Rd (678) 690-2005",1195-receipt.jpg.json
2017-10-25,14.17,USD,"27000 Marine Ave #103, Redondo Beach, CA 90278",1137-receipt.jpg.json
2018-07-22,51.82,USD,"7701 Atlantic Ave, Cudahy, CA",1026-receipt.jpg.json
2017-05-04,228.92,USD,"Pita Pita - Lombard, 211 E Roosevelt Rd, Lombard, IL 60148",1085-receipt.jpg.json
2017-06-16,30.15,USD,"Thai GUSTO, 2011 Hewitt Ave, Everett WA 98201",1023-receipt.jpg.json
2017-07-10,33.34,USD,"12247 Sheridan St, Cooper Cityb, FL 33026",1160-receipt.jpg.json
2015-04-25,69.25,USD,GRAND LUX CAFE,1001-receipt.jpg.json
2019-08-23,21.76,USD,El Gato Negro,1123-receipt.jpg.json
2019-07-14,82.0,EUR,RISTORANTE BELLAGIO (CO),1066-receipt.jpg.json
2012-04-27,2.17,USD,"IN-N-OUT BURGER SANTA CLARA, 1761 262 1110",1018-receipt.jpg.json
2019-05-19,29.98,USD,MOD Pizza,1191-receipt.jpg.json
2017-07-15,79.17,USD,"Rosebud on Rush, 720 North Rush Street, Chicago, IL",1115-receipt.jpg.json
2018-07-02,235.19,USD,"56 Scranton Ave, Falmouth, MA 02540",1079-receipt.jpg.json
2017-12-20,47.09,USD,BOA,1130-receipt.jpg.json
2023-06-26,64.43,USD,Quick 73,1011-receipt.jpg.json
2016-10-04,10.7,USD,GENERAL POOR'S TAVERN,1051-receipt.jpg.json
2018-02-13,17.18,USD,"HIRO JAPANESE RESTAURANT, 3007 NE 163RD STREET, North Miami Beach, FL 33160",1129-receipt.jpg.json
2018-08-18,160.07,USD,"1236 S Wolfe Rd, Sunnyvale, CA 94086",1110-receipt.jpg.json
2019-06-16,50.38,USD,Spiral Diner & Bakery,1187-receipt.jpg.json
2017-12-28,37.6,USD,"590 Clover Lane, Ashland, Oregon",1058-receipt.jpg.json
2016-04-15,16.24,USD,"204 Spring St, New York, NY 10012",1102-receipt.jpg.json
2018-01-28,52.06,USD,"Go Mongo BBQ, 6661 Stanford Ranch Rd. Rocklin, CA 95677",1108-receipt.jpg.json
2017-08-15,179.94,USD,"3768 Mission Blvd, San Diego, CA 92109",1005-receipt.jpg.json
2017-06-13,75.15,USD,Lan Sheng,1106-receipt.jpg.json
,80.0,EUR,,1063-receipt.jpg.json
2019-07-21,33.75,USD,"25-17 Astoria Blvd, Astoria, NY 11102",1167-receipt.jpg.json
2019-03-02,9.97,USD,"6011 W ROOSEVELT RD, CICERO, IL 60804",1081-receipt.jpg.json
2017-03-17,13.78,USD,,1083-receipt.jpg.json
2023-06-16,80.45,USD,"HMS Host, SACRAMENTO INTL AIRPORT",1150-receipt.jpg.json
2015-02-16,129.75,EUR,"Marco Pierre White Steakhouse & Grill, 2 Holloway Circus, Birmingham, B1 1BE",1155-receipt.jpg.json
2018-11-04,14.06,USD,"22413 Barton Road, Grand Terrace, CA 92313",1101-receipt.jpg.json
2018-06-29,780.45,MYR,MITASU JAPANESE RESTAURANT SDN BHD,1158-receipt.jpg.json
2018-04-20,157.51,USD,"919 Franklin Ave. Garden City, NY 11530",1086-receipt.jpg.json
2023-09-12,65.1,EUR,"Bar Rua, Rua das Flores 103",1194-receipt.jpg.json
2018-10-20,23.46,USD,"349 7th Ave (corner of 105th) Brooklyn, NY 11215",1120-receipt.jpg.json
2018-04-24,10.0,USD,Taco Time - Kenmore,1159-receipt.jpg.json
2017-03-05,41.32,USD,"BEN'S BAYSIDE, 211-37 28th Avenue, Bayside, NY 11360",1163-receipt.jpg.json
2012-09-12,523.0,THB,POP TATES KORUM MALL,1171-receipt.jpg.json
2019-06-28,10.95,USD,Mr. M's Hot Wings & Things Inc,1070-receipt.jpg.json
2018-02-17,22.87,USD,"615 Franklin Ave, Hartford, CT 06114",1105-receipt.jpg.json
2015-08-02,17.0,EUR,"Rue de la Paix 12, 1003 Lausanne",1034-receipt.jpg.json
2016-09-01,7.61,USD,"Taco Bell, 7230 Pendleton Pike, Indianapolis, IN 46226",1002-receipt.jpg.json
2017-12-29,42.74,USD,"Crisfield Seafood Restaurant, 8012 Georgia Ave. Silver Spring, MD 20910",1103-receipt.jpg.json
2019-02-19,14.18,USD,Elegant Vietnamese Cuisine,1078-receipt.jpg.json
2019-03-12,25.47,USD,"SHAKE SHACK, 1450 S. Dixie Highway",1140-receipt.jpg.json
2019-02-24,33.73,USD,"Lin Buffet, 2988 N. Expressway, Brownsville, TX",1074-receipt.jpg.json
2019-09-08,30.16,USD,Bella Pasta,1009-receipt.jpg.json
2016-07-15,109.28,USD,"Buca di Beppo, Store#0511Universal City, CA 91608",1170-receipt.jpg.json
2015-08-02,17.0,EUR,la Source,1041-receipt.jpg.json
2017-11-18,52.76,USD,"1304 Copeland Rd, Arlington, TX 76011",1036-receipt.jpg.json
2014-11-02,19.19,USD,Marie Callender's Restaurant,1193-receipt.jpg.json
2017-12-21,17.75,USD,EL VALLÉ Mexican Restaurant,1172-receipt.jpg.json
2017-02-18,75.5,USD,Trinity Restaurant,1071-receipt.jpg.json
2018-08-28,34.0,EUR,BAR RISTORANTE,1197-receipt.jpg.json
2018-11-10,53.23,USD,"Dominican Restaurant, 1019 Front St.",1161-receipt.jpg.json
2018-11-01,91.45,USD,"2501 Colorado Ave, Santa Monica, CA 90404",1048-receipt.jpg.json
2015-03-14,62.7,USD,"KALOOKI'S, Bay Road, Blue Hills",1152-receipt.jpg.json
2017-05-09,30.98,USD,RINCON MEXICANO,1029-receipt.jpg.json
2018-09-29,54.2,USD,"FourthStreetMill, 2124 Bonita Avenue, La Verne, CA 91750",1179-receipt.jpg.json
2013-06-10,19.44,USD,"IN-N-OUT BURGER ESCONDIDO, 247 2 480 2152",1064-receipt.jpg.json
2016-09-24,94.18,USD,"255-10 Northern Blvd, Floral Park, NY 11001",1052-receipt.jpg.json
2013-11-06,56.38,USD,"124 East Park Ave, Long Beach, NY 11561",1104-receipt.jpg.json
2019-12-08,10.9,USD,"22825 Huron River Dr, Rockwood, MI 48173",1069-receipt.jpg.json
2018-09-06,73.24,USD,"Via Mar Restaurant, 4105 Maine Ave, Baldwin park, CA 91706",1154-receipt.jpg.json
2019-01-24,9.58,USD,CAFE PARISIEN LARCHMONT LLC,1057-receipt.jpg.json
2019-06-23,26.67,USD,"BK SOUL FOOD & CATERING, 11318 Yonkers Ave, Yonkers, NY 10704",1043-receipt.jpg.json
2019-04-01,33.26,USD,"8930 Mission Dr. #102, Rosemead, CA 91770",1012-receipt.jpg.json
2017-06-28,13.25,USD,"EL POLLO LOCO, 7519 S. ATLANTIC AVE. CUDÁHY, CA 90201",1097-receipt.jpg.json
2018-11-16,"93,58",USD,"Akira, 888 8th Ave, New York, NY 10019",1006-receipt.jpg.json
2018-07-26,43.3,USD,"Kaiseki, 7 West Merrick Rd. Valley Stream, NY 11580",1092-receipt.jpg.json
2018-01-23,45.79,USD,Taco Maria,1065-receipt.jpg.json
2016-12-07,142.93,USD,Firepoint Grill,1089-receipt.jpg.json
2017-09-27,7.61,USD,"CARL'S JR, 11961 Beach Blvd.Stanton, CA 90680",1168-receipt.jpg.json
2019-07-30,152.00,USD,"ZOCA RESTAURANT, 98 GARFIELD PARKWAY, BETHANY BEACH, DE 19930",1056-receipt.jpg.json
2017-08-24,16.56,USD,600 E Grand Ave,1173-receipt.jpg.json
2017-06-14,27.62,USD,"15848 Halliburton Rd, Hacienda Heights, CA 91745",1109-receipt.jpg.json
2018-06-30,154.0,USD,"Bombay Grill House, 764 9TH AVE NEW YORK, NY 10019",1190-receipt.jpg.json
2019-04-10,13.53,USD,"215 Cypress Ave, Snohomish, WA 98290",1151-receipt.jpg.json
2018-01-30,146.73,USD,"E. BALDI, 375 North Canon Drive, Beverly Hills, CA 90210",1135-receipt.jpg.json
2015-08-06,22.7,USD,East Hampton,1164-receipt.jpg.json
2019-02-02,35.52,USD,"1902 Jericho Turnpike, New Hyde Park NY 11040",1016-receipt.jpg.json
2016-11-24,13.00,USD,"Z3/7, Sita Ram Quay, Phnom Penh, Cambodia",1147-receipt.jpg.json
2017-12-17,83.5,USD,1660 India Street,1060-receipt.jpg.json
2018-04-13,55.38,USD,"ipanema Brazilian Steak House, 2023 South Pine Avenue, Ocala, Florida 34471",1174-receipt.jpg.json
2018-03-08,46.4,USD,"81 Ludlow St, New York, NY 10002",1144-receipt.jpg.json
2017-09-23,85.07,USD,730 Tavern Kitchen & Patio,1047-receipt.jpg.json
2019-08-30,68.99,USD,"KALAVERAS MEXICAN CUISINE & BAR, 16530 BELLFLOWER BLVD BELLFLOWER, CA 90706",1128-receipt.jpg.json
2018-10-25,26.76,USD,DINE_IN,1127-receipt.jpg.json
2017-10-01,84.78,USD,Arthur's,1143-receipt.jpg.json
2013-03-16,164.89,USD,"Everett, WA",1037-receipt.jpg.json
2019-05-18,15.03,USD,"GOLDEN BOWL TERIYAKI, 8610 Garfield Ave. South Gate, CA 90280",1004-receipt.jpg.json
2016-02-12,28.4,USD,"JT's Diner, 37011 Cook Street",1185-receipt.jpg.json
2018-10-29,37.37,USD,Moonstar Restaurant,1022-receipt.jpg.json
2019-06-29,92.22,USD,"35201 Newark Blvd, Newark, CA 94560",1080-receipt.jpg.json
2014-05-22,14.36,USD,SmokeBoxBBQ,1075-receipt.jpg.json
2019-04-19,28.04,USD,SUKHOTHAI SUSHI + ASIAN FUSION,1040-receipt.jpg.json
2018-07-13,69.76,USD,"HAWWI ETHIOPIAN RESTAURANT, 1125 QUEEN ST ALEXANDRIA, VA 22314",1021-receipt.jpg.json
2018-09-15,26.37,USD,Chili's Grill & Bar,1061-receipt.jpg.json
2014-10-08,9.7,USD,COLLEGE OF SOUTHERN NEVADA RUSSELL'S RESTAURANT,1157-receipt.jpg.json
2016-11-12,117.0,USD,JBR,1165-receipt.jpg.json
2019-03-19,19.1,USD,"CHATPATA RESTAURANT INC, 1683 ROUTE 9, CLIFFTON PARK, NY 12065",1125-receipt.jpg.json
2023-01-03,97.29,EUR,STANWAY'S,1192-receipt.jpg.json
2017-03-10,50.29,USD,Hammocks Trading Company,1015-receipt.jpg.json
2018-07-21,77.83,USD,"22 Haverhill Rd, Windham, NH",1010-receipt.jpg.json
2023-10-11,14.0,EUR,"IKEA, IKEA Wien Neves 185",1156-receipt.jpg.json
2017-12-22,27.44,USD,"Panda Express #2614, Brooklyn, NY",1119-receipt.jpg.json
2019-04-10,13.13,USD,"The Shawarma Factory, 14817 S. Western Ave, Gardena, CA 90249",1136-receipt.jpg.json
2015-06-06,33.92,USD,"14727 S Rinaldi St, San Fernando, CA 91340",1024-receipt.jpg.json
2019-05-18,46.73,USD,Uncle Julio's,1033-receipt.jpg.json
2019-02-23,48.53,USD,"Loaded Cafe, 15700 Bellflower Blvd, Bellflower, CA 90706",1014-receipt.jpg.json
2017-05-25,32.66,USD,FIVE GUYS,1090-receipt.jpg.json
2017-09-19,10.81,USD,"Calle 204, Av. Ernesto Tumbe",1087-receipt.jpg.json
2017-04-20,5.35,USD,El Gran Mar de Plata,1003-receipt.jpg.json
2017-11-24,28.31,USD,CHRIS'S HAMBURGERS,1131-receipt.jpg.json
2017-01-07,42.16,USD,"Pappadeaux Seafood Kitchen (612)7600 Airport Blvd (HOU)Houston, TX 77061",1166-receipt.jpg.json
2017-03-19,9.5,USD,"1717 DUTCH BRDY ELMONT, NY 11003",1032-receipt.jpg.json
2019-01-11,44.31,USD,"Longboards, 92-161 Waipahe Place, Kapolei, HI 96707",1027-receipt.jpg.json
2015-08-22,46.39,USD,Delmonico's Italian Steakhouse,1169-receipt.jpg.json
2016-07-08,21.73,USD,KFC,1134-receipt.jpg.json
2017-07-16,144.28,USD,"4323 Hazel Avenue, Fair Oaks, CA 95628",1107-receipt.jpg.json
2017-06-10,7.55,USD,"LANDFALL RESTAURANT, APRIL TO DECEMBER",1059-receipt.jpg.json
2023-09-29,146.57,USD,MOONSTAR RESTAURANT,1133-receipt.jpg.json
2018-12-29,16.23,USD,"Pokeatery CV, 18911 Lake Chabot Road, Castro Valley, CA 94546",1094-receipt.jpg.json
2016-05-26,56.58,USD,"GREEN FIELD, 5305 E PACIFIC COAST HWY Long Beach, CA 90804",1000-receipt.jpg.json
2015-08-30,5.29,USD,"180 Eastern Boulevard, Canandaigua, NY 14424",1149-receipt.jpg.json
2015-06-02,39.18,USD,FRENCH CAFE & WINE BAR,1126-receipt.jpg.json
2018-05-11,28.78,USD,"CITY TASTE, 930 WAYNE AVE #100 SILVER SPRING, MD 20910",1091-receipt.jpg.json
2017-01-21,11.91,USD,Gourdough's Public House,1178-receipt.jpg.json
2016-04-07,439.85,USD,"DEL FRISCO'S S #8620, 1221 Avenue of the Americas New York, New York 10020",1181-receipt.jpg.json
2018-09-07,17.8,USD,"Yogurtland, 12502 North Kendall Drive, Miami, FL 33186",1038-receipt.jpg.json
2019-03-03,52.47,USD,Primo Family Restaurant,1186-receipt.jpg.json
2013-07-07,7.27,USD,McDonald's Restaurant #3100,1025-receipt.jpg.json
2014-03-22,13.03,USD,"MOOYAH Burgers, Fries & Shakes #199",1088-receipt.jpg.json
2014-10-21,313.49,USD,"Gordon Ramsay Steak, Paris Las Vegas",1153-receipt.jpg.json
2018-11-05,143.71,USD,"2818 Hewitt Ave, Everett, WA 98201",1007-receipt.jpg.json
2016-04-24,11.04,USD,UMIX,1017-receipt.jpg.json
2018-07-21,25.78,USD,"Paradise Restaurant, 889 W. 190th Street, Los Angeles, CA 90248",1076-receipt.jpg.json
2016-12-03,26.96,USD,"1130 North Higley Rd Suite#7-102, Mesa, AZ 85205",1188-receipt.jpg.json
2019-07-26,47.02,USD,"Deccan Spice, 771 Newark Avenue, Jersey City Local, NJ 07306",1020-receipt.jpg.json
,24.47,USD,"Dona Mercedes Restaurant, 1030 1/2 San Fernando Rd, San Fernando CA 91341",1008-receipt.jpg.json
,9.58,USD,ALBETOS MEXICAN FOOD,1013-receipt.jpg.json
,40.3,USD,"18128 Pioneer Blvd, Artesia, CA 90701",1067-receipt.jpg.json
,10.23,USD,Golden Coin,1095-receipt.jpg.json
,47.7,USD,El Meson Mexican Restaurant,1122-receipt.jpg.json
